id,asset,w,h,url
spec-14b49aa1-55139,art/14b49aa1-55139/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/14b49aa1-55139/cover.webp
spec-15766f13-53702,art/15766f13-53702/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/15766f13-53702/cover.webp
spec-15ec5da4-50147,art/15ec5da4-50147/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/15ec5da4-50147/cover.webp
spec-1612e252-55011,art/1612e252-55011/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/1612e252-55011/cover.webp
spec-1627fc44-54709,art/1627fc44-54709/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/1627fc44-54709/cover.webp
spec-16687e74-50390,art/16687e74-50390/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/16687e74-50390/cover.webp
spec-16a68f54-49867,art/16a68f54-49867/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/16a68f54-49867/cover.webp
spec-16a8a7c2-49793,art/16a8a7c2-49793/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/16a8a7c2-49793/cover.webp
spec-16b7bab0-49132,art/16b7bab0-49132/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/16b7bab0-49132/cover.webp
spec-16d4a8e6-51095,art/16d4a8e6-51095/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/16d4a8e6-51095/cover.webp
spec-170b69f7-49123,art/170b69f7-49123/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/170b69f7-49123/cover.webp
spec-1718a643-49271,art/1718a643-49271/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/1718a643-49271/cover.webp
spec-1755e449-51294,art/1755e449-51294/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/1755e449-51294/cover.webp
spec-17d0a43b-53265,art/17d0a43b-53265/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/17d0a43b-53265/cover.webp
spec-17e1f820-50467,art/17e1f820-50467/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/17e1f820-50467/cover.webp
spec-181b4923-51141,art/181b4923-51141/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/181b4923-51141/cover.webp
