id,asset,w,h,url
spec-44baa09d-54232,art/44baa09d-54232/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/44baa09d-54232/cover.webp
spec-44e3dd2c-54234,art/44e3dd2c-54234/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/44e3dd2c-54234/cover.webp
spec-450f1b9b-54230,art/450f1b9b-54230/cover.webp,1639,2048,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/450f1b9b-54230/cover.webp
spec-4563a65b-54236,art/4563a65b-54236/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4563a65b-54236/cover.webp
spec-46114bc9-39410,art/46114bc9-39410/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/46114bc9-39410/cover.webp
spec-4617d90d-54174,art/4617d90d-54174/cover.webp,1080,135,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4617d90d-54174/cover.webp
spec-46439fab-9837,art/46439fab-9837/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/46439fab-9837/cover.webp
spec-46c23666-50431,art/46c23666-50431/cover.webp,538,620,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/46c23666-50431/cover.webp
spec-475c03f2-52286,art/475c03f2-52286/cover.webp,990,478,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/475c03f2-52286/cover.webp
spec-47e14e5a-52654,art/47e14e5a-52654/cover.webp,740,740,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/47e14e5a-52654/cover.webp
spec-48b24735-52284,art/48b24735-52284/cover.webp,990,990,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/48b24735-52284/cover.webp
spec-4ac23337-51279,art/4ac23337-51279/cover.webp,1079,283,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4ac23337-51279/cover.webp
spec-4ac74dcd-39413,art/4ac74dcd-39413/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4ac74dcd-39413/cover.webp
spec-4ade5b4d-39431,art/4ade5b4d-39431/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4ade5b4d-39431/cover.webp
spec-4ae8f9a8-39389,art/4ae8f9a8-39389/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4ae8f9a8-39389/cover.webp
spec-4b109c81-39433,art/4b109c81-39433/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4b109c81-39433/cover.webp
spec-4b25baeb-46665,art/4b25baeb-46665/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4b25baeb-46665/cover.webp
spec-4bc3ef64-39399,art/4bc3ef64-39399/cover.webp,1800,2718,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4bc3ef64-39399/cover.webp
spec-4cd1b7e6-39429,art/4cd1b7e6-39429/cover.webp,1800,2718,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4cd1b7e6-39429/cover.webp
spec-4d680ced-46843,art/4d680ced-46843/cover.webp,1600,1060,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4d680ced-46843/cover.webp
spec-4d7bf503-50289,art/4d7bf503-50289/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4d7bf503-50289/cover.webp
spec-4ead4c58-50394,art/4ead4c58-50394/cover.webp,225,225,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4ead4c58-50394/cover.webp
spec-4f2569c5-52293,art/4f2569c5-52293/cover.webp,940,484,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/4f2569c5-52293/cover.webp
spec-50415c42-46675,art/50415c42-46675/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/50415c42-46675/cover.webp
spec-50f06789-52294,art/50f06789-52294/cover.webp,990,1320,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/50f06789-52294/cover.webp
spec-5193a51f-46756,art/5193a51f-46756/cover.webp,300,400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5193a51f-46756/cover.webp
spec-51951890-51405,art/51951890-51405/cover.webp,1800,819,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/51951890-51405/cover.webp
spec-51e4f5ec-53132,art/51e4f5ec-53132/cover.webp,1080,131,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/51e4f5ec-53132/cover.webp
spec-5221d2d3-46658,art/5221d2d3-46658/cover.webp,1800,1350,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5221d2d3-46658/cover.webp
spec-5286517b-9009,art/5286517b-9009/cover.webp,1800,1031,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5286517b-9009/cover.webp
spec-54077715-49713,art/54077715-49713/cover.webp,1080,434,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/54077715-49713/cover.webp
spec-551fafb3-46963,art/551fafb3-46963/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/551fafb3-46963/cover.webp
spec-55d16f17-42204,art/55d16f17-42204/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/55d16f17-42204/cover.webp
spec-568eab9b-53108,art/568eab9b-53108/cover.webp,1080,3363,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/568eab9b-53108/cover.webp
spec-57372f38-39402,art/57372f38-39402/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/57372f38-39402/cover.webp
spec-57d09b7f-51459,art/57d09b7f-51459/cover.webp,1080,1229,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/57d09b7f-51459/cover.webp
spec-57ecba8b-46728,art/57ecba8b-46728/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/57ecba8b-46728/cover.webp
spec-58ea5736-52654,art/58ea5736-52654/cover.webp,740,740,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/58ea5736-52654/cover.webp
spec-5919ac0b-49976,art/5919ac0b-49976/cover.webp,1080,172,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5919ac0b-49976/cover.webp
spec-59a63e8e-46699,art/59a63e8e-46699/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/59a63e8e-46699/cover.webp
spec-5b02c953-39405,art/5b02c953-39405/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5b02c953-39405/cover.webp
spec-5b466d76-55042,art/5b466d76-55042/cover.webp,1080,1472,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5b466d76-55042/cover.webp
spec-5ccb3b68-9836,art/5ccb3b68-9836/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5ccb3b68-9836/cover.webp
spec-5d5647dc-54238,art/5d5647dc-54238/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5d5647dc-54238/cover.webp
spec-5dcc45ae-50479,art/5dcc45ae-50479/cover.webp,559,548,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5dcc45ae-50479/cover.webp
spec-5e4f1755-9029,art/5e4f1755-9029/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5e4f1755-9029/cover.webp
spec-5e5347de-9015,art/5e5347de-9015/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/5e5347de-9015/cover.webp
spec-601243af-46779,art/601243af-46779/cover.webp,400,300,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/601243af-46779/cover.webp
spec-6079c6b9-46793,art/6079c6b9-46793/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6079c6b9-46793/cover.webp
spec-60e3c34e-51433,art/60e3c34e-51433/cover.webp,1080,1662,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/60e3c34e-51433/cover.webp
spec-6190e280-46711,art/6190e280-46711/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6190e280-46711/cover.webp
spec-6205ff6a-51005,art/6205ff6a-51005/cover.webp,1080,3445,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6205ff6a-51005/cover.webp
spec-6297f121-39377,art/6297f121-39377/cover.webp,1800,2718,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6297f121-39377/cover.webp
spec-629c1fee-50394,art/629c1fee-50394/cover.webp,225,225,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/629c1fee-50394/cover.webp
spec-62a350e4-39409,art/62a350e4-39409/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/62a350e4-39409/cover.webp
spec-6326e2c1-51291,art/6326e2c1-51291/cover.webp,1079,169,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6326e2c1-51291/cover.webp
spec-633aa889-52285,art/633aa889-52285/cover.webp,990,990,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/633aa889-52285/cover.webp
spec-646d7fd4-49698,art/646d7fd4-49698/cover.webp,687,1000,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/646d7fd4-49698/cover.webp
spec-648867e9-39380,art/648867e9-39380/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/648867e9-39380/cover.webp
spec-64e824d2-51204,art/64e824d2-51204/cover.webp,464,778,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/64e824d2-51204/cover.webp
spec-656bbcb3-9030,art/656bbcb3-9030/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/656bbcb3-9030/cover.webp
spec-65836949-50433,art/65836949-50433/cover.webp,542,712,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/65836949-50433/cover.webp
spec-666ebe4d-50505,art/666ebe4d-50505/cover.webp,1800,1784,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/666ebe4d-50505/cover.webp
spec-67abd33e-54235,art/67abd33e-54235/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/67abd33e-54235/cover.webp
spec-691d2e8d-52306,art/691d2e8d-52306/cover.webp,400,400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/691d2e8d-52306/cover.webp
spec-693e7f66-39389,art/693e7f66-39389/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/693e7f66-39389/cover.webp
spec-69532136-39408,art/69532136-39408/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/69532136-39408/cover.webp
spec-69af6405-46697,art/69af6405-46697/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/69af6405-46697/cover.webp
spec-6a20f0e2-54233,art/6a20f0e2-54233/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6a20f0e2-54233/cover.webp
spec-6ac23ba9-39427,art/6ac23ba9-39427/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6ac23ba9-39427/cover.webp
spec-6b30cbbb-52310,art/6b30cbbb-52310/cover.webp,800,800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6b30cbbb-52310/cover.webp
spec-6cd91b6f-9816,art/6cd91b6f-9816/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6cd91b6f-9816/cover.webp
spec-6ce5c846-54498,art/6ce5c846-54498/cover.webp,529,713,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6ce5c846-54498/cover.webp
spec-6e4217fb-46811,art/6e4217fb-46811/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6e4217fb-46811/cover.webp
spec-6e4d3ac5-46801,art/6e4d3ac5-46801/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6e4d3ac5-46801/cover.webp
spec-6e51dafb-9039,art/6e51dafb-9039/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6e51dafb-9039/cover.webp
spec-6e7c2028-46732,art/6e7c2028-46732/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6e7c2028-46732/cover.webp
spec-6e848367-51209,art/6e848367-51209/cover.webp,521,886,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6e848367-51209/cover.webp
spec-6f8dff10-52298,art/6f8dff10-52298/cover.webp,900,900,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6f8dff10-52298/cover.webp
spec-6f91a666-52321,art/6f91a666-52321/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/6f91a666-52321/cover.webp
spec-7007216f-46807,art/7007216f-46807/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/7007216f-46807/cover.webp
spec-7077c714-54231,art/7077c714-54231/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/7077c714-54231/cover.webp
spec-70eda096-9060,art/70eda096-9060/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/70eda096-9060/cover.webp
